sim,CL,CD,CM
21,1.94022131755058,0.00875988265913505,-0.329329405679845
6,2.01124647327712,0.0185918676543329,-0.200833865979337
18,2.03758431752897,0.0189436002073975,-0.285553428401517
12,1.76402271428704,0.0150504905464654,-0.135544909073225
15,1.48512682058854,0.0105713829981829,-0.146411826565827
3,1.53835015054759,0.00930458451309991,-0.23672359399344
20,1.12824297939066,0.00932554082602687,-0.141773507307157
11,1.95015765775536,0.00822627117080467,-0.331609479108779
5,2.01077159412351,0.0205575497862693,-0.28097082471354
2,1.47483151335828,0.0109896269842792,-0.144239913912724
14,1.93715131597526,0.0230764218706965,-0.188115811150103
19,2.04235224389237,0.0170288441514227,-0.20671833617722
24,2.06110033896156,0.0393882405571718,-0.244191601746596
1,1.80136276497162,0.0141110461704238,-0.223009737778655
4,1.7801348849531,0.0157491620768157,-0.218851813713021
9,1.44587323664129,0.0123256279485646,-0.137821802237576
184,0.365941808526876,0.00572133450716201,-0.0730489273150714
17,2.11055783582622,0.0346839804676677,-0.249712972682295
23,1.13331077696068,0.00838448517204275,-0.142651619190372
13,1.97266959633096,0.0230787284214413,-0.27484677840809
8,1.13138902610693,0.00873362792709111,-0.1423230206871
183,2.20597632860576,0.0300380449947984,-0.166306568876737
16,1.53887979555909,0.00928627085669054,-0.236915142654706
22,1.71747983079074,0.0186017603115368,-0.126294018884087
7,1.81156569242586,0.0133267797151634,-0.224963129878221
10,1.54747532927598,0.00842577322688884,-0.238150640181003
44,1.17239182901782,0.00895361948399184,-0.0726961697422703
164,2.00330276344877,0.00811332834799166,-0.404224896717232
144,0.721866463431604,0.0050595268348417,-0.153463504786919
84,NaN,NaN,NaN
143,1.52647912316029,0.00734748986494917,-0.33428537984529
163,1.48645280027654,0.0118792007666859,-0.0673748621534706
83,2.13489350161477,0.0365071701410005,-0.159200096841108
43,1.82324530466562,0.0322186118233342,-0.172639210325487
124,NaN,NaN,NaN
162,1.70888454741476,0.00646205556061439,-0.337557651489423
123,2.16355035514183,0.0228145030983553,-0.181992589600764
42,2.01019620296552,0.0209530443932833,-0.280805310016242
82,NaN,NaN,NaN
161,NaN,NaN,NaN
41,1.47186037561298,0.0137841850420435,-0.0647553894888934
40,1.70046235205431,0.00696571057449931,-0.335643093627126
39,1.30056345242943,0.00624139361685144,-0.244664299340911
81,2.17417669543699,0.0556144621849287,-0.293598462879987
160,NaN,NaN,NaN
80,2.19662378541945,0.0489435307698787,-0.231767003934277
38,1.15210141794816,0.0110253544238129,-0.0684033102467119
79,2.17931422824431,0.0287970059618969,-0.25857246468651
159,NaN,NaN,NaN
78,2.22459354297669,0.00953168559408284,-0.396119220324687
158,0.880667843034532,0.00595576856654348,-0.149503248239282
37,NaN,NaN,NaN
36,1.4175126201734,0.0153119744371909,-0.132034003264022
77,2.06779874910414,0.0675292356197718,-0.283513503324006
157,1.66844138638152,0.0244691599182568,-0.0532840795733183
35,0.790131674143322,0.00776766419967877,-0.0633185801604833
34,0.882024829604827,0.00596937887398271,-0.149617503931258
156,1.96896752472687,0.00955627678009185,-0.396633677680976
33,1.81718004090096,0.0128980831487032,-0.226017005078445
76,NaN,NaN,NaN
32,2.09196404737604,0.0281915367687844,-0.172317467046322
182,NaN,NaN,NaN
181,2.17504360176849,0.0220386198095648,-0.183691127814921
75,NaN,NaN,NaN
31,2.23693547843969,0.0241126440734809,-0.340479250431445
180,2.16748809700239,0.0289542131271725,-0.329641280116482
74,1.95602034349083,0.00795292497229943,-0.333043429702897
30,1.74154020293272,0.0185854207398541,-0.211584594359213
29,1.30475563887775,0.0058310455687796,-0.245657475576581
179,2.08382781221439,0.111053288768111,-0.289548232273151
28,1.16429850024053,0.00995272070787607,-0.0710018669572882
73,NaN,NaN,NaN
72,2.18746703885712,0.010906653326525,-0.387967689261275
27,2.15417936925041,0.0308564849214501,-0.25520177749869
178,NaN,NaN,NaN
177,1.30812834247002,0.00551762672183034,-0.246527392155574
122,NaN,NaN,NaN
26,1.77771948385246,0.0141901197594284,-0.138261409550905
71,NaN,NaN,NaN
176,1.17871486444574,0.00823148942046547,-0.0740222578292542
142,NaN,NaN,NaN
121,2.11717932415586,0.0884788243312457,-0.267314116388286
25,1.95654117256628,0.00788131579045675,-0.333062494495543
120,1.30767508856866,0.00555692630731421,-0.246405808363085
119,1.17666106046077,0.0084614832875062,-0.0735920848681603
204,NaN,NaN,NaN
141,NaN,NaN,NaN
104,NaN,NaN,NaN
203,2.1442324294293,0.00951297330894449,-0.436046053029575
64,NaN,NaN,NaN
202,0.792954505572623,0.00701921709791934,-0.0637145989658686
140,0.640820400818151,0.00579305914730096,-0.0299502644591855
103,1.5359575569926,0.0137847801792346,-0.236376993814272
63,1.68912635489475,0.00768639471906835,-0.333134793044273
201,0.880380333464244,0.00595471243210246,-0.149471429354692
118,NaN,NaN,NaN
200,1.78277853704484,0.0300610899038961,-0.04721745953573
199,2.08657825149541,0.0116329498063926,-0.423622746675621
102,NaN,NaN,NaN
117,NaN,NaN,NaN
101,0.636127273323398,0.00622672119427575,-0.0288827451905246
