sim,CL,CD,CM
9,1.474461963364,0.00613371553450233,-0.141711381120677
3,1.57934859669354,0.00588282547615025,-0.245125300734201
15,1.47919859829925,0.00559672709468982,-0.142603258741478
6,2.17963553467686,0.00924189172535226,-0.233303305995951
12,1.78431245668717,0.0075371597167061,-0.136114367584482
18,2.27079955281928,0.00884263029643084,-0.332711942748895
21,1.96526990277753,0.00803101723363386,-0.335402631470016
24,2.44562861467853,0.0130777154837296,-0.303594921519318
2,1.47722294183331,0.00582069181667505,-0.142223597261014
14,2.17078022315626,0.00984624770101552,-0.231522778891786
11,1.97384862750506,0.00752104462835137,-0.33724538489906
20,1.15680111911835,0.00506811406140345,-0.14702472004082
5,2.26302371149548,0.00923492480591278,-0.331035183926781
17,2.47642568196595,0.0120485697855082,-0.310006618509619
1,1.88932900961534,0.00718877573501598,-0.240460153043023
19,2.18418350707894,0.00893713882130328,-0.23420752548707
13,2.25062636463905,0.00983942125703757,-0.328386684167563
10,1.57462438871763,0.00627037551367271,-0.244136329493387
4,1.88370448472179,0.00761773603587554,-0.239317343499013
16,1.58225782222517,0.00564457873916916,-0.245738576694389
44,1.12677768407697,0.00487195888128862,-0.0597920081157988
144,0.726279498190328,0.00386302005355367,-0.154752535827943
104,0.906663504244766,0.00503927277518947,-0.00883914434403781
64,1.43666491286897,0.00703803760161482,-0.0528581720824126
164,2.02925032804859,0.00772061304987508,-0.410425949252672
43,2.15582367634723,0.0108435540337547,-0.228564437607746
143,1.55143828284928,0.0061510000285149,-0.34049932500564
163,1.44061765119433,0.00633983316184441,-0.0534120344157317
8,NaN,NaN,NaN
103,1.54800255319448,0.0085602179130641,-0.238738888166769
63,1.712809195252,0.0067842760635028,-0.338943720828746
42,2.22452764566373,0.0110612477771407,-0.322818138309844
124,2.31866371084494,0.0127080223932019,-0.42014376182271
162,1.72367028423928,0.00611635410594523,-0.341260583738174
102,1.45569675926416,0.00851144983564813,-0.138250355235928
7,1.89297046045387,0.00691064290782474,-0.241209780150826
23,NaN,NaN,NaN
62,1.77330844118447,0.00875631377510224,-0.134170213000926
41,1.43866257639475,0.00668325768735023,-0.0531351866709431
101,0.586016001958675,0.00392693987033854,-0.0154839090212979
84,1.89640454016292,0.00664921741025124,-0.241923752158659
22,1.77986600850475,0.00803094959215598,-0.135307572564404
61,1.94968911438045,0.00894560974811138,-0.332084413577059
100,0.725431371552038,0.00399408630443157,-0.154577183965057
40,1.71788686060995,0.00647817822140444,-0.340020787139765
161,2.48577476446041,0.0267691772322743,-0.332750855344172
39,1.31116206079437,0.00542411773222682,-0.247573532866066
60,0.803527671690631,0.00441119435779956,-0.0654432027670683
83,2.49693830393368,0.0136794129020063,-0.212066565809511
38,1.12416017258675,0.00533200269206183,-0.0593626215677188
142,NaN,NaN,NaN
59,0.88968989430435,0.0044990864975423,-0.151376714883771
160,2.48334913281844,0.0233252483203138,-0.265783172032641
37,1.56646669078994,0.00695753562555841,-0.242452327202103
123,NaN,NaN,NaN
58,1.15219298337798,0.00561619364742633,-0.146114206899487
159,0.806611614456941,0.00394186787727697,-0.0660359388196102
141,1.92502840957817,0.010210955259559,-0.326957529077715
36,1.46857239073569,0.00682625875340849,-0.140598330832009
158,0.893745682550558,0.00399302466847519,-0.152215967193716
57,2.40192629592848,0.0112251431455783,-0.225108504772295
140,0.586448768272635,0.00379903427569983,-0.0155519697787999
99,NaN,NaN,NaN
35,0.80512580528573,0.00415854013705317,-0.0657485803781156
157,1.68572330981261,0.00927020653475177,-0.0469817899211522
34,0.891584487962323,0.00424314460775396,-0.151762606954777
82,NaN,NaN,NaN
139,1.2218840776822,0.00661548047753126,-0.0021568039159313
156,2.01529755342093,0.00835506336147932,-0.407410592923949
56,2.47119681555336,0.0116744880844926,-0.383773125757929
33,1.89524951998407,0.00673674784287074,-0.241683446881758
55,2.1873278191701,0.00872115884070433,-0.234844989844754
155,2.00930124259654,0.0108657967969537,-0.127267039353635
32,2.39270154974123,0.0117519478966197,-0.223259852757985
122,NaN,NaN,NaN
81,2.60920319822072,0.0186468029818996,-0.353225356598518
98,NaN,NaN,NaN
31,2.44950546206307,0.0124263587489482,-0.379253690695884
121,2.65048113593437,0.0322674592412205,-0.322390836105472
154,2.18892616220994,0.0113442835395542,-0.388815849010407
97,2.18900124365569,0.00860540779629429,-0.235186428637917
138,NaN,NaN,NaN
120,1.31822222318851,0.00484288106035766,-0.249063038068198
30,1.87253705905496,0.00849614727899446,-0.237042702605983
137,1.14251321559598,0.00694508018147639,-0.144287697057143
54,NaN,NaN,NaN
96,2.27745578022589,0.00850368565990669,-0.334147476350621
119,1.12739387736816,0.00477617361732379,-0.0598967641166789
29,1.31447904837088,0.00515410940022505,-0.248265217831966
80,2.59835148488007,0.0164527490468615,-0.284856746246593
136,0.585317403738348,0.00416121586001084,-0.0153761019884363
28,1.12557318263198,0.0050667366918965,-0.059581283495117
118,2.3518460058251,0.0138890021427984,-0.215228565828585
79,2.50317489520262,0.0111817950922199,-0.315696526044986
53,2.59004863631116,0.0197771647727936,-0.349839421496285
95,2.6308151023129,0.0291392391005003,-0.372570130151183
135,2.64481405486724,0.021920925833312,-0.267244901339934
117,2.36449037675003,0.0162521489022243,-0.362503438561255
116,1.68949483420456,0.00866817605113498,-0.0474994423363811
52,2.57488121406817,0.0176971987059977,-0.280689238038225
134,2.50970199533468,0.0110106715911262,-0.317121481451099
27,NaN,NaN,NaN
115,2.02303622161922,0.00801710010634321,-0.409073559307473
94,2.62211350991952,0.0234528432867439,-0.263733961098648
78,NaN,NaN,NaN
26,1.78625095071555,0.00733633122673292,-0.136448017787084
114,1.30612050122746,0.00584016964048171,-0.246533812079793
25,1.97908893214893,0.00720710982880825,-0.338378308876767
113,1.1212176382361,0.00589900673650228,-0.0588918585082346
77,2.5519377177037,0.0221347373292663,-0.343314557324383
194,0.908384785109311,0.00453090429660468,-0.00904070827765735
51,NaN,NaN,NaN
112,0.536506156940807,0.00378263324526924,-0.0707341839191595
76,2.02923654804134,0.00930064080646666,-0.130526852426651
133,NaN,NaN,NaN
50,1.48047432762563,0.0054607321715429,-0.142853156151571
111,1.15087340220565,0.00458254599208901,-0.250681428155513
93,NaN,NaN,NaN
75,1.78775211677141,0.00717689639577838,-0.136721072821159
193,2.25322837257049,0.017509643839575,-0.196385793148969
132,2.17236712375539,0.0108034473009477,-0.126167883633179
92,1.48108850956554,0.00539266871661075,-0.142972199336684
49,2.37715065890335,0.012609693746972,-0.220166806163642
110,0.908352769827418,0.00458667281286621,-0.00906399119940466
74,1.9821804454499,0.00702273267894085,-0.33904756935685
131,1.78858616947078,0.00708629410199133,-0.13687484547652
192,2.23681593074187,0.023805449444129,-0.340182493342112
184,NaN,NaN,NaN
109,2.11177020535421,0.0136769901932299,-0.219913979588715
130,1.9837683130091,0.00692776772927903,-0.339392180464105
48,2.4173505171203,0.013754427895714,-0.372744370764479
191,1.47726512960808,0.00824926093729284,0.00334910022670972
183,2.52457218455226,0.0126633517555139,-0.217715143396487
73,2.53957466979286,0.0197420339115001,-0.274688647732695
47,2.02515397948487,0.00971627669113782,-0.129803208764001
190,1.86746065011211,0.00729653186660172,-0.410542577003511
108,2.1340133946224,0.014285818220982,-0.30373744478735
72,2.23865447668063,0.0101588494970221,-0.399744884957749
91,2.46238260942068,0.0147620429395261,-0.205052699045204
46,2.25705722682962,0.00946499778773315,-0.403767056988138
189,1.14419051520079,0.0051472191990644,-0.249239991280575
107,1.22264047949792,0.00636241435036048,-0.00217885867496601
45,1.31678425345152,0.00496035035154812,-0.248755237032774
188,0.905183062249056,0.00548940982849419,-0.0086792597115352
129,2.5773024518086,0.0266551410530003,-0.257230611807703
90,2.4793354569977,0.0195421111566496,-0.39448139197976
234,0.726832791067371,0.00378077543500544,-0.154867802262096
182,NaN,NaN,NaN
89,2.16710692864509,0.0113045838119784,-0.125259676943443
128,2.37615859812658,0.0107929057524342,-0.432259710646719
187,1.30613394221836,0.00573093491082994,-0.246395297571209
233,1.47447299580546,0.00884517622410195,0.00362188325671302
71,NaN,NaN,NaN
127,1.16267298066642,0.00441464801938189,-0.148217377631782
70,2.01867510339884,0.0103767381929609,-0.128674095084565
106,NaN,NaN,NaN
69,1.43972649642046,0.00649096706131858,-0.0532766895523465
88,2.35077934687518,0.0115361230549137,-0.426801509477942
153,NaN,NaN,NaN
126,2.58193845259675,0.0330752677662249,-0.36524178692957
87,1.84543235789222,0.0106453617188613,-0.231625247256472
152,1.43303622462737,0.00760492127634873,-0.052354834925449
232,NaN,NaN,NaN
86,1.148821151733,0.00476136122611629,-0.250238302630309
186,NaN,NaN,NaN
181,NaN,NaN,NaN
151,1.70843031403639,0.00697188255130254,-0.338020716282646
231,0.317472151878376,0.00350646876459349,-0.0208352514831682
185,0.317089229730573,0.00363883765919537,-0.0207610115763492
85,0.907835144121897,0.00474877153598512,-0.00900424678556956
150,0.886325695215767,0.00488862372232034,-0.150698933406344
230,0.370625214591231,0.0035400990033511,-0.0740711994252309
224,0.722053343979923,0.00449260758980741,-0.153871707253446
105,NaN,NaN,NaN
68,NaN,NaN,NaN
125,2.15822513007249,0.0121413138776291,-0.123743681685936
223,0.796287158411619,0.00604567392942251,-0.064219849163159
67,2.39569617093921,0.0151404565562272,-0.293789630254682
222,0.882109911174952,0.0055605145781075,-0.149882454157075
269,2.6837206224586,0.0574756704162859,-0.331490856474004
221,0.316601986850095,0.00384340096282761,-0.0206749025487415
180,NaN,NaN,NaN
204,2.51348683562602,0.0317979623882064,-0.248823648841916
220,0.583737126975092,0.0045946568183202,-0.0151165247100157
229,NaN,NaN,NaN
214,NaN,NaN,NaN
228,1.54967913262507,0.00616653248251351,-0.340080414789581
66,NaN,NaN,NaN
213,2.1755275690462,0.0105026716557219,-0.126718302367533
65,0.892920700183237,0.00409142091943971,-0.152041836569285
219,2.6975139240799,0.0403906328720098,-0.309822388207875
268,2.68144566328474,0.0254780723482241,-0.380715230863935
254,2.52860158845411,0.0124691326485025,-0.218520109695137
179,2.65796546879022,0.046769738549865,-0.344810852444283
203,NaN,NaN,NaN
267,2.66860370997678,0.0204019574055821,-0.271029342182411
227,NaN,NaN,NaN
226,1.72076762689904,0.0057993743553222,-0.340321561133874
266,2.17713651634006,0.0103489529626383,-0.126999511006166
178,2.66293791202661,0.0435636291095645,-0.305496659650692
212,NaN,NaN,NaN
218,2.66174865607554,0.0208345955611974,-0.269915708317162
225,0.369710492756324,0.00385250615366041,-0.0738916744915404
177,1.31891880311128,0.00478735316284556,-0.249210936692166
253,NaN,NaN,NaN
202,NaN,NaN,NaN
274,0.727139029416481,0.00373764619391779,-0.154932336789738
176,1.12749542188737,0.00474846820696824,-0.0599021996036138
201,0.894159558614831,0.00394103312823176,-0.1523032118065
273,1.62631040831833,0.0104594282904675,0.00728726224412412
217,2.63206324640293,0.0173696250147384,-0.357344778599626
211,2.38571168316336,0.0104612909264132,-0.434308930248082
175,2.4100838579894,0.0165397777910234,-0.195320467973675
272,2.03541681608222,0.0086021927199392,-0.447432060178372
200,1.83440024880625,0.0109026460386139,-0.0430656962426677
265,NaN,NaN,NaN
199,2.17607795091453,0.00956953100868239,-0.443653957412718
174,2.41098346945566,0.0238694636508035,-0.382670676308091
216,2.62136763941985,0.0153431654864548,-0.289084593715473
252,NaN,NaN,NaN
173,1.84010658985707,0.0101724800003418,-0.0438552921132805
210,NaN,NaN,NaN
198,2.502412397121,0.0398390154356961,-0.353940795249929
279,NaN,NaN,NaN
271,NaN,NaN,NaN
251,2.69946361227457,0.0283571420246201,-0.329527645829263
149,NaN,NaN,NaN
250,1.69332049000428,0.00807050431124489,-0.0480469002663961
215,NaN,NaN,NaN
270,2.41403843003106,0.00916861203795858,-0.440409217805535
172,NaN,NaN,NaN
249,2.03302354390923,0.00753808043136525,-0.41124914888324
284,0.150422495124665,0.00375345440609699,-0.0240873282314157
197,NaN,NaN,NaN
278,NaN,NaN,NaN
209,NaN,NaN,NaN
248,2.5258737297017,0.0432590262859243,-0.306038170333528
148,NaN,NaN,NaN
196,2.29090129390018,0.0138567325720641,-0.414646723633588
171,2.61550964016198,0.0156447994390503,-0.287999888111676
147,1.55786528764414,0.0057623980931498,-0.341877170459538
195,1.15196916634952,0.00448845290445555,-0.250916053582775
247,2.02163755780673,0.0078239440161735,-0.408763927774569
304,NaN,NaN,NaN
277,2.31601824191227,0.0579400342413562,-0.33086622381194
294,1.69406397797123,0.00795516397362073,-0.0481553476293439
283,NaN,NaN,NaN
303,2.03278985318757,0.00686071951803502,-0.410882005329929
208,2.61114454507202,0.0483748408299929,-0.299235861448076
146,2.28072926722187,0.0215016916450503,-0.273619546096605
293,2.03494419059811,0.00744472312455497,-0.411668515220374
302,0.315488977360079,0.00422488476592643,-0.0204688069551104
282,0.720360471895574,0.00493755485269135,-0.153433159544812
145,1.22348291093942,0.0061437031396526,-0.00226238928546398
301,0.369203163836282,0.00415136744951066,-0.0738015572327264
276,2.36877295478455,0.0453719415951165,-0.233028815773045
244,0.533736355027119,0.00438902947707855,-0.0702000494894104
281,1.63326100284633,0.00928546506092453,0.00656307534272039
300,0.530921206875115,0.0052299785751555,-0.0697233306006369
170,2.68118632846303,0.0297818079477472,-0.326810782142291
275,0.587132156736317,0.0036803603447353,-0.0156837535027222
292,2.50748227395162,0.0615264148827443,-0.326780309932343
313,2.20493618206736,0.00858451142839013,-0.449951602169676
207,NaN,NaN,NaN
169,2.62591996754331,0.0177118603546434,-0.356217357647651
206,1.4410959352907,0.0062576007960682,-0.0534855862721435
243,NaN,NaN,NaN
280,NaN,NaN,NaN
205,1.72494350160935,0.00603456668043812,-0.341537707572114
168,2.03166923812584,0.00905242044869169,-0.130960620655234
291,2.52258099885968,0.0573373089459753,-0.289623606984565
310,1.87461370566202,0.00694289693299143,-0.41209047290102
312,NaN,NaN,NaN
311,1.47998935005975,0.00766702538369196,0.00306791342804203
309,2.35203475658584,0.0608868684909594,-0.287030121046992
242,NaN,NaN,NaN
308,0.3176859829557,0.00342359801747841,-0.0208764633015478
241,1.22410007566415,0.005993035876207,-0.00233362499394553
289,NaN,NaN,NaN
167,NaN,NaN,NaN
240,1.55993631198072,0.00562667162772649,-0.342327296934529
288,2.20242585259632,0.00828833433271547,-0.449367866673833
287,0.151017666292185,0.00344293298060939,-0.0242123270356436
239,1.8630940753173,0.00747016722333512,-0.409605901964778
166,2.60561664867967,0.0360009630828038,-0.316158534082453
328,NaN,NaN,NaN
238,2.33332877181593,0.0395554960796567,-0.311583167808618
165,1.69187166700179,0.00829295509401658,-0.0478363699001173
286,NaN,NaN,NaN
237,2.34965078275234,0.0338546295858172,-0.247726803592177
285,1.55389326047949,0.00561779036531471,-0.340636708842085
327,NaN,NaN,NaN
264,2.58290563061787,0.0675860131075024,-0.320050358464215
326,1.87640233688598,0.00684801877854009,-0.412482650301679
329,1.63461726617619,0.009012323792467,0.00643503454611706
331,0.313907033875063,0.00501336239623838,-0.0202529863698433
246,NaN,NaN,NaN
236,2.26128623085831,0.00862400618807246,-0.4045239681695
235,0.586852257687193,0.00371880929966389,-0.0156271292540865
333,1.86684995266712,0.00673400099357299,-0.410007731532896
335,0.151073805550801,0.00336488464207931,-0.0242215089104697
263,NaN,NaN,NaN
307,NaN,NaN,NaN
334,NaN,NaN,NaN
245,NaN,NaN,NaN
319,NaN,NaN,NaN
318,2.20376242509639,0.00784866507660104,-0.449378723948261
290,NaN,NaN,NaN
338,NaN,NaN,NaN
262,NaN,NaN,NaN
306,NaN,NaN,NaN
339,1.63530515642803,0.00887363226202092,0.00636925118599536
261,0.150732901029804,0.00356619989761817,-0.0241500508648904
336,NaN,NaN,NaN
299,2.72162463375011,0.0381979804980719,-0.312895557878959
305,1.87314986210156,0.00668718129252137,-0.411689325603105
260,1.1525648413869,0.00443744082345426,-0.25104425827111
343,0.14969176489028,0.00467846268419656,-0.0239590200870377
317,NaN,NaN,NaN
259,0.908576256329097,0.00448477920527142,-0.00906717548611846
322,NaN,NaN,NaN
340,2.04328331020695,0.00763893243025897,-0.448723551700455
298,2.71026220366561,0.0275298323587882,-0.331150954212882
316,NaN,NaN,NaN
325,2.30136122166708,0.0841239499459108,-0.306056254086796
258,2.30693358739845,0.0223638442274413,-0.178941119797491
257,2.27588361829328,0.0342652423283421,-0.361925680286393
337,2.28307282020412,0.10173342491372,-0.29293180838984
321,NaN,NaN,NaN
324,2.33446038493729,0.077966832485672,-0.272145976222443
297,NaN,NaN,NaN
320,2.05686246366954,0.00736132609070188,-0.452009194008057
323,0.317779624123463,0.00337982809976945,-0.020893852056102
315,NaN,NaN,NaN
330,0.367392515676606,0.00478459211963927,-0.0734206941471345
296,1.84505656408687,0.00943089609364853,-0.0445226506888507
256,NaN,NaN,NaN
314,NaN,NaN,NaN
295,NaN,NaN,NaN
342,0.151090966608938,0.00332502287196431,-0.0242232828504386
255,2.04293477134757,0.00833926532874267,-0.449072029691596
341,NaN,NaN,NaN
332,NaN,NaN,NaN
