     1.000000    0.002100
     0.991882    0.004681
     0.978649    0.008830
     0.964113    0.013308
     0.948298    0.018085
     0.931297    0.023114
     0.913255    0.028331
     0.894350    0.033670
     0.874764    0.039064
     0.854658    0.044459
     0.834171    0.049811
     0.813408    0.055085
     0.792452    0.060258
     0.771362    0.065311
     0.750184    0.070232
     0.728953    0.075009
     0.707695    0.079634
     0.686431    0.084101
     0.665182    0.088403
     0.643962    0.092533
     0.622787    0.096486
     0.601673    0.100255
     0.580633    0.103833
     0.559683    0.107214
     0.538838    0.110391
     0.518115    0.113357
     0.497532    0.116103
     0.477108    0.118623
     0.456867    0.120909
     0.436833    0.122953
     0.417038    0.124748
     0.397516    0.126287
     0.378310    0.127565
     0.359470    0.128577
     0.341055    0.129321
     0.323132    0.129798
     0.305775    0.130015
     0.289062    0.129945
     0.272946    0.129502
     0.257345    0.128698
     0.242221    0.127552
     0.227560    0.126080
     0.213361    0.124301
     0.199637    0.122233
     0.186406    0.119899
     0.173689    0.117323
     0.161506    0.114532
     0.149876    0.111553
     0.138816    0.108416
     0.128333    0.105150
     0.118432    0.101784
     0.109109    0.098346
     0.100354    0.094859
     0.092150    0.091346
     0.084478    0.087824
     0.077314    0.084309
     0.070630    0.080813
     0.064401    0.077344
     0.058597    0.073911
     0.053193    0.070516
     0.048161    0.067163
     0.043477    0.063853
     0.039118    0.060585
     0.035064    0.057360
     0.031294    0.054176
     0.027792    0.051030
     0.024542    0.047920
     0.021532    0.044845
     0.018748    0.041800
     0.016180    0.038785
     0.013821    0.035797
     0.011662    0.032833
     0.009699    0.029893
     0.007925    0.026974
     0.006337    0.024077
     0.004933    0.021201
     0.003710    0.018348
     0.002665    0.015519
     0.001797    0.012718
     0.001104    0.009946
     0.000583    0.007210
     0.000229    0.004511
     0.000039    0.001862
     0.000006   -0.000736
     0.000130   -0.003345
     0.000426   -0.005989
     0.000907   -0.008645
     0.001585   -0.011304
     0.002471   -0.013954
     0.003572   -0.016581
     0.004892   -0.019171
     0.006432   -0.021714
     0.008192   -0.024201
     0.010169   -0.026623
     0.012359   -0.028976
     0.014762   -0.031258
     0.017375   -0.033467
     0.020198   -0.035606
     0.023233   -0.037675
     0.026485   -0.039677
     0.029960   -0.041615
     0.033668   -0.043492
     0.037621   -0.045312
     0.041834   -0.047077
     0.046325   -0.048789
     0.051118   -0.050452
     0.056239   -0.052067
     0.061718   -0.053635
     0.067591   -0.055157
     0.073902   -0.056632
     0.080697   -0.058060
     0.088031   -0.059439
     0.095968   -0.060765
     0.104578   -0.062034
     0.113937   -0.063240
     0.124131   -0.064376
     0.135245   -0.065432
     0.147367   -0.066399
     0.160574   -0.067264
     0.174931   -0.068018
     0.190473   -0.068651
     0.207200   -0.069157
     0.225061   -0.069537
     0.243953   -0.069796
     0.263705   -0.069949
     0.284076   -0.070017
     0.304742   -0.070020
     0.325462   -0.069830
     0.346297   -0.069397
     0.367301   -0.068741
     0.388504   -0.067876
     0.409920   -0.066816
     0.431552   -0.065573
     0.453399   -0.064160
     0.475451   -0.062588
     0.497699   -0.060868
     0.520130   -0.059011
     0.542729   -0.057027
     0.565480   -0.054928
     0.588369   -0.052721
     0.611378   -0.050417
     0.634490   -0.048023
     0.657686   -0.045547
     0.680946   -0.042997
     0.704247   -0.040379
     0.727562   -0.037701
     0.750859   -0.034968
     0.774095   -0.032188
     0.797214   -0.029368
     0.820139   -0.026520
     0.842765   -0.023657
     0.864954   -0.020797
     0.886526   -0.017965
     0.907264   -0.015193
     0.926935   -0.012514
     0.945320   -0.009966
     0.962257   -0.007577
     0.977663   -0.005368
     0.991547   -0.003346
     1.000000   -0.002100
